Orbit,TP,TN,FP,FN,TP (%),TN (%),FP (%),FN (%),Accuracy,Recall,
6292,2342,64093,2054,271,3.41,93.21,2.99,0.39,0.9662,0.8963,
6320,2210,64308,1584,406,3.23,93.87,2.31,0.59,0.971,0.8448,
6350,1976,63952,1004,424,2.93,94.95,1.49,0.63,0.9788,0.8233,
6380,1865,63942,708,445,2.79,95.49,1.06,0.66,0.9828,0.8074,
6410,1536,63529,566,357,2.33,96.27,0.86,0.54,0.986,0.8114,
6440,1636,64458,282,692,2.44,96.11,0.42,1.03,0.9855,0.7027,"A small part of solar panel in the boxes, low contrast. "
6470,2109,64912,316,307,3.12,95.96,0.47,0.45,0.9908,0.8729,
6500,2164,65313,297,374,3.18,95.84,0.44,0.55,0.9902,0.8526,
6530,1539,66400,514,163,2.24,96.77,0.75,0.24,0.9901,0.9042,
6560,2100,66725,182,509,3.02,95.99,0.26,0.73,0.9901,0.8049,
6590,1957,66663,369,383,2.82,96.09,0.53,0.55,0.9892,0.8363,
6620,1877,66845,621,65,2.7,96.31,0.89,0.09,0.9901,0.9665,Very high contrast
6650,1775,65535,1150,156,2.59,95.51,1.68,0.23,0.981,0.9192,
6680,1576,64516,431,149,2.36,96.77,0.65,0.22,0.9913,0.9136,
6710,1334,62898,255,169,2.06,97.28,0.39,0.26,0.9934,0.8876,
6740,957,59949,314,88,1.56,97.78,0.51,0.14,0.9934,0.9158,
6770,401,54262,523,110,0.73,98.13,0.95,0.2,0.9886,0.7847,
